"Diferencia";"Aplicación.Nombre del campo";"Número de valores"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Adjuntar_información_a_web_HTTPS"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Adjuntar_información_a_web_HTTP"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Sin_importar_la_acción_del_usuario_y_sie"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Criticidad"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Módulos_Implementados"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Metodología_de_Detección"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Tipo"
"No encontrado";"Reglas_DLP.Relevamiento_Funcional__Flujos_Nivel_de_Confidencialidad"
"No encontrado";"Risk_Hierarchy.Punto_de_foco_Etapa_de_flujo_de_trabajo"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación__8b_Tiene_cuantificado_el_impacto__1"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación__8a_Riesgo_inherente"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación__1a_Ud_es_parte_del_proceso"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Última_versión"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Validado_por_riesgos"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Tipo_Riesgo"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Sistemas_de_apoyo"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Reporting"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Actividad_de_monitoreo"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Publicado_en_documento"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Medir_desviacion"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Ocurrencia_riesgo"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_CCO"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Adulteracion_de_resgistros"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Fuga_de_informacion"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Vulnerabilidades"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Dificil_control"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Proceso_vigente"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Portal_de_procesos"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Fases_del_proceso"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Forma_de_comunicacion_escrita"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Comunicacion_de_riesgos"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Indicadores_clave_del_proceso"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Actores_y_responsabilidades"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Proceso_mapeado"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Certificacion_SOX"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Conoce_resto_de_proceso"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Dueño_del_Proceso"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Estado_general"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Estado_de_progreso"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Año"
"No encontrado";"Controles_de_mitigación.Controles_de_mitigación_Trimestre"
"No encontrado";"enumNombre_de_la_campaña"
"No encontrado";"Risk_Hierarchy.Risk_Category_Etapa_de_flujo_de_trabajo"
"No encontrado";"Risk_Hierarchy.Enterprise_Risk_Etapa_de_flujo_de_trabajo"
"No encontrado";"Risk_Register.Risk_Register_Rechazar_riesgo"
"No encontrado";"Risk_Register.Risk_Register_Ingresar_al_mapa_de_riesgos"
"No encontrado";"Risk_Register.Risk_Register_Aprobado"
"No encontrado";"Risk_Register.Risk_Register_Cobertura_por_Mitigación"
"No encontrado";"Risk_Register.Risk_Register_Consecuencias_1"
"No encontrado";"Risk_Register.Risk_Register_Necesita_aprobación"
"No encontrado";"Risk_Register.Risk_Register_Etapa"
"Cambio de valores";"Risk_Register.Risk_Register_Area";De 110 campos a 0 campos.;
"Cambio de valores";"Risk_Register.Risk_Register_Área_del_Riesgo_1";De 81 campos a 0 campos.;
"Cambio de valores";"Risk_Register.Risk_Register_Grupo_del_Riesgo";De 25 campos a 0 campos.;
"No encontrado";"Business_Unit.Business_Unit_Enviar_notificación"
"No encontrado";"Applications.Applications_Estado"
"No encontrado";"Applications.Applications_SOX"
"No encontrado";"Applications.Applications_Resultado_Disponibilidad"
"No encontrado";"Applications.Applications_Resultado_Integridad"
"No encontrado";"Applications.Applications_Resultado_Confidencialidad"
"No encontrado";"Applications.Applications_Acceso_externo_a_datos"
"No encontrado";"Applications.Applications_Seguridad_Fisica"
"No encontrado";"Applications.Applications_Entornos_separados"
"No encontrado";"Applications.Applications_Antivirus"
"No encontrado";"Applications.Applications_Resguardo"
"No encontrado";"Applications.Applications_Arquitectura_de_Implementacion"
"No encontrado";"Applications.Applications_Vulnerability_Assessment"
"No encontrado";"Applications.Applications_Web_App_FW_F5"
"No encontrado";"Applications.Applications_Auditoria_de_BD"
"No encontrado";"Applications.Applications_FW_de_BD"
"No encontrado";"Applications.Applications_FW_de_Host"
"No encontrado";"Applications.Applications_Nivel_de_bloqueo"
"No encontrado";"Applications.Applications_Aseguramiento_de_servidor"
